available,category,price,priceExcludeTax,priceIncludeTax,rating,title
16,Sequential Art,50.40,50.40,50.40,star-rating Three,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"
16,Nonfiction,19.83,19.83,19.83,,Reskilling America: Learning to Labor in the Twenty-First Century
16,Nonfiction,22.00,22.00,22.00,,In the Country We Love: My Family Divided
16,Sequential Art,51.04,51.04,51.04,,"Saga, Volume 5 (Saga (Collected Editions) #5)"
19,Travel,45.17,45.17,45.17,,It's Only the Himalayas
16,Science Fiction,35.67,35.67,35.67,,Join
16,Add a comment,53.90,53.90,53.90,,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)
16,Sequential Art,19.92,19.92,19.92,,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
16,Food and Drink,40.11,40.11,40.11,,"Layered: Baking, Building, and Styling Spectacular Cakes"
16,Sequential Art,46.91,46.91,46.91,,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"
14,Christian,47.72,47.72,47.72,,Crazy Love: Overwhelmed by a Relentless God
16,Sequential Art,45.61,45.61,45.61,star-rating Three,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)"
16,Food and Drink,14.02,14.02,14.02,,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"
14,Fiction,25.01,25.01,25.01,star-rating Three,Cometh the Hour (The Clifton Chronicles #6)
14,Default,47.02,47.02,47.02,star-rating Three,"Hush, Hush (Hush, Hush #1)"
14,Humor,14.75,14.75,14.75,,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
14,Fiction,10.60,10.60,10.60,,I Am Pilgrim (Pilgrim #1)
8,Suspense,58.33,58.33,58.33,star-rating Three,Silence in the Dark (Logan Point #4)
8,Christian Fiction,39.67,39.67,39.67,,Shadows of the Past (Logan Point #1)
8,Young Adult,28.93,28.93,28.93,,South of Sunshine
8,Business,36.91,36.91,36.91,,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
8,Nonfiction,38.89,38.89,38.89,,Smarter Faster Better: The Secrets of Being Productive in Life and Business
6,Poetry,15.42,15.42,15.42,,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)
6,Default,10.27,10.27,10.27,,The Fellowship of the Ring (The Lord of the Rings #1)
7,Childrens,32.38,32.38,32.38,,Playing from the Heart
7,Childrens,34.41,34.41,34.41,,Raymie Nightingale
7,Business,51.74,51.74,51.74,,"Rich Dad, Poor Dad"
